Feedback_Date,Customer_ID,Product_ID,Rating,Comments,Cleaned_Comments
13/03/2018,335,P335,5,Clear capital sell run challenge.,"['clear', 'capital', 'sell', 'run', 'challenge']"
19/07/2018,336,P336,3,Start market set collection Republican against.,"['start', 'market', 'set', 'collection', 'republican', 'against']"
26/03/2018,337,P337,2,Especially any series drop.,"['especially', 'any', 'series', 'drop']"
23/02/2018,338,P338,3,Nothing into garden black population.,"['nothing', 'into', 'garden', 'black', 'population']"
25/04/2018,339,P339,5,Social difference alone.,"['social', 'difference', 'alone']"
03/07/2018,340,P340,1,Improve lead determine attack operation well focus.,"['improve', 'lead', 'determine', 'attack', 'operation', 'well', 'focus']"
08/01/2018,341,P341,4,Most able difference.,"['most', 'able', 'difference']"
13/06/2018,342,P342,4,Debate store reveal would fact.,"['debate', 'store', 'reveal', 'would', 'fact']"
02/03/2018,343,P343,1,Television example night learn.,"['television', 'example', 'night', 'learn']"
29/05/2018,344,P344,3,Executive campaign image bag a money more mind.,"['executive', 'campaign', 'image', 'bag', 'a', 'money', 'more', 'mind']"
06/07/2018,345,P345,2,Price floor reality.,"['price', 'floor', 'reality']"
21/07/2018,346,P346,4,Animal concern wife similar election past top drive.,"['animal', 'concern', 'wife', 'similar', 'election', 'past', 'top', 'drive']"
01/05/2018,347,P347,4,Establish attorney pull simply seat act.,"['establish', 'attorney', 'pull', 'simply', 'seat', 'act']"
20/03/2018,348,P348,4,Home politics assume defense.,"['home', 'politics', 'assume', 'defense']"
13/08/2018,349,P349,2,Figure degree pretty several decide.,"['figure', 'degree', 'pretty', 'several', 'decide']"
10/03/2018,350,P350,4,Recent pull activity red staff agent particular.,"['recent', 'pull', 'activity', 'red', 'staff', 'agent', 'particular']"
23/02/2018,351,P351,5,We lawyer local public single size.,"['we', 'lawyer', 'local', 'public', 'single', 'size']"
10/01/2018,352,P352,4,Oil another read my hear why rise.,"['oil', 'another', 'read', 'my', 'hear', 'why', 'rise']"
01/06/2018,353,P353,4,Drive especially easy sport case heavy.,"['drive', 'especially', 'easy', 'sport', 'case', 'heavy']"
02/07/2018,354,P354,1,Anything suddenly positive painting operation director health.,"['anything', 'suddenly', 'positive', 'painting', 'operation', 'director', 'health']"
20/01/2018,355,P355,2,Determine do shake owner carry.,"['determine', 'do', 'shake', 'owner', 'carry']"
28/07/2018,356,P356,5,Service discover upon open.,"['service', 'discover', 'upon', 'open']"
05/01/2018,357,P357,5,Plant fine still care.,"['plant', 'fine', 'still', 'care']"
19/01/2018,358,P358,4,Professor act responsibility travel discussion.,"['professor', 'act', 'responsibility', 'travel', 'discussion']"
18/02/2018,359,P359,5,Available three entire resource of soldier.,"['available', 'three', 'entire', 'resource', 'of', 'soldier']"
30/06/2018,360,P360,4,Beautiful land behind wear project.,"['beautiful', 'land', 'behind', 'wear', 'project']"
30/04/2018,361,P361,1,Sound long money create Congress.,"['sound', 'long', 'money', 'create', 'congress']"
03/06/2018,362,P362,2,Recognize style cost return difficult.,"['recognize', 'style', 'cost', 'return', 'difficult']"
11/07/2018,363,P363,5,Office standard laugh.,"['office', 'standard', 'laugh']"
04/05/2018,364,P364,4,Score I various think.,"['score', 'i', 'various', 'think']"
30/05/2018,365,P365,4,Indicate chance training prevent happen.,"['indicate', 'chance', 'training', 'prevent', 'happen']"
22/06/2018,366,P366,5,Remember force sea notice pressure training word.,"['remember', 'force', 'sea', 'notice', 'pressure', 'training', 'word']"
18/01/2018,367,P367,1,Important recognize agree they move.,"['important', 'recognize', 'agree', 'they', 'move']"
06/07/2018,368,P368,5,Read fund wide somebody.,"['read', 'fund', 'wide', 'somebody']"
17/03/2018,369,P369,1,Wife outside bank player somebody note.,"['wife', 'outside', 'bank', 'player', 'somebody', 'note']"
28/03/2018,370,P370,1,Fish instead brother listen glass suffer itself.,"['fish', 'instead', 'brother', 'listen', 'glass', 'suffer', 'itself']"
04/07/2018,371,P371,5,Reflect finish professional message join difficult police ball.,"['reflect', 'finish', 'professional', 'message', 'join', 'difficult', 'police', 'ball']"
12/03/2018,372,P372,3,Style exist food way best quality check.,"['style', 'exist', 'food', 'way', 'best', 'quality', 'check']"
18/02/2018,373,P373,2,Road couple owner election computer region.,"['road', 'couple', 'owner', 'election', 'computer', 'region']"
03/06/2018,374,P374,5,Guy number special age crime blue within.,"['guy', 'number', 'special', 'age', 'crime', 'blue', 'within']"
16/07/2018,375,P375,2,View key have care budget movement.,"['view', 'key', 'have', 'care', 'budget', 'movement']"
12/07/2018,376,P376,1,Better party maintain live year really.,"['better', 'party', 'maintain', 'live', 'year', 'really']"
17/01/2018,377,P377,1,Crime generation senior phone.,"['crime', 'generation', 'senior', 'phone']"
06/03/2018,378,P378,4,Road keep senior system talk board add.,"['road', 'keep', 'senior', 'system', 'talk', 'board', 'add']"
06/04/2018,379,P379,2,Here believe price before.,"['here', 'believe', 'price', 'before']"
24/07/2018,380,P380,2,Find answer rest city.,"['find', 'answer', 'rest', 'city']"
07/04/2018,381,P381,3,Laugh election civil determine situation.,"['laugh', 'election', 'civil', 'determine', 'situation']"
11/07/2018,382,P382,4,Operation suggest full enjoy since.,"['operation', 'suggest', 'full', 'enjoy', 'since']"
12/07/2018,383,P383,3,Partner eat American suffer future through.,"['partner', 'eat', 'american', 'suffer', 'future', 'through']"
13/02/2018,384,P384,4,Our hand very analysis prove low yeah.,"['our', 'hand', 'very', 'analysis', 'prove', 'low', 'yeah']"
13/07/2018,385,P385,2,Executive leader stop early today official protect.,"['executive', 'leader', 'stop', 'early', 'today', 'official', 'protect']"
21/03/2018,386,P386,2,Market several help project I series.,"['market', 'several', 'help', 'project', 'i', 'series']"
01/03/2018,387,P387,4,White player quality simple night down much these.,"['white', 'player', 'quality', 'simple', 'night', 'down', 'much', 'these']"
18/06/2018,388,P388,1,Wear pick animal behavior fact figure.,"['wear', 'pick', 'animal', 'behavior', 'fact', 'figure']"
05/02/2018,389,P389,4,Some lose word store.,"['some', 'lose', 'word', 'store']"
19/04/2018,390,P390,1,Central these today analysis her interview upon song.,"['central', 'these', 'today', 'analysis', 'her', 'interview', 'upon', 'song']"
16/08/2018,391,P391,1,Table garden future become we.,"['table', 'garden', 'future', 'become', 'we']"
17/05/2018,392,P392,4,Lot skin piece listen administration.,"['lot', 'skin', 'piece', 'listen', 'administration']"
09/01/2018,393,P393,3,Former eat type bar apply treatment.,"['former', 'eat', 'type', 'bar', 'apply', 'treatment']"
06/04/2018,394,P394,3,Edge television could report less.,"['edge', 'television', 'could', 'report', 'less']"
03/03/2018,395,P395,1,He toward continue born inside.,"['he', 'toward', 'continue', 'born', 'inside']"
13/03/2018,396,P396,1,Few each recognize table keep yeah.,"['few', 'each', 'recognize', 'table', 'keep', 'yeah']"
16/03/2018,397,P397,2,Source writer employee rule public.,"['source', 'writer', 'employee', 'rule', 'public']"
08/05/2018,398,P398,1,Including through ago.,"['including', 'through', 'ago']"
20/02/2018,399,P399,2,Exactly how friend push.,"['exactly', 'how', 'friend', 'push']"
07/07/2018,400,P400,5,Happy since too people.,"['happy', 'since', 'too', 'people']"
18/04/2018,401,P401,1,Suddenly difference go cut feel thus debate.,"['suddenly', 'difference', 'go', 'cut', 'feel', 'thus', 'debate']"
02/07/2018,402,P402,3,Call common economic environmental often.,"['call', 'common', 'economic', 'environmental', 'often']"
07/04/2018,403,P403,3,May anything here citizen write shoulder.,"['may', 'anything', 'here', 'citizen', 'write', 'shoulder']"
14/06/2018,404,P404,3,Check Democrat card partner.,"['check', 'democrat', 'card', 'partner']"
09/01/2018,405,P405,5,School article skill toward daughter black increase.,"['school', 'article', 'skill', 'toward', 'daughter', 'black', 'increase']"
24/06/2018,406,P406,3,Note medical at plan expect never.,"['note', 'medical', 'at', 'plan', 'expect', 'never']"
06/01/2018,407,P407,3,Meeting trip environment black past.,"['meeting', 'trip', 'environment', 'black', 'past']"
22/08/2018,408,P408,1,Serve would lead decide structure military admit bit.,"['serve', 'would', 'lead', 'decide', 'structure', 'military', 'admit', 'bit']"
19/07/2018,409,P409,2,Market piece cultural attention job sing.,"['market', 'piece', 'cultural', 'attention', 'job', 'sing']"
21/03/2018,410,P410,2,Behind fear effort rich real raise government.,"['behind', 'fear', 'effort', 'rich', 'real', 'raise', 'government']"
16/02/2018,411,P411,1,Tv listen until relate bank.,"['tv', 'listen', 'until', 'relate', 'bank']"
20/07/2018,412,P412,2,Develop oil goal film over lose.,"['develop', 'oil', 'goal', 'film', 'over', 'lose']"
19/01/2018,413,P413,2,Push expert hospital heavy ahead lot.,"['push', 'expert', 'hospital', 'heavy', 'ahead', 'lot']"
15/03/2018,414,P414,5,Impact join entire range four somebody.,"['impact', 'join', 'entire', 'range', 'four', 'somebody']"
28/01/2018,415,P415,1,Truth rise religious partner well.,"['truth', 'rise', 'religious', 'partner', 'well']"
06/03/2018,416,P416,4,Wish talk who.,"['wish', 'talk', 'who']"
23/06/2018,417,P417,3,Contain too garden walk account north.,"['contain', 'too', 'garden', 'walk', 'account', 'north']"
27/06/2018,418,P418,3,Born trip college end behavior health onto response.,"['born', 'trip', 'college', 'end', 'behavior', 'health', 'onto', 'response']"
30/06/2018,419,P419,5,Wall allow campaign day popular collection score.,"['wall', 'allow', 'campaign', 'day', 'popular', 'collection', 'score']"
17/01/2018,420,P420,5,Establish so act accept country.,"['establish', 'so', 'act', 'accept', 'country']"
15/06/2018,421,P421,3,Specific cut attention box stuff avoid.,"['specific', 'cut', 'attention', 'box', 'stuff', 'avoid']"
01/05/2018,422,P422,3,Concern perhaps phone the four.,"['concern', 'perhaps', 'phone', 'the', 'four']"
08/06/2018,423,P423,2,Seem leg baby none art bad but amount.,"['seem', 'leg', 'baby', 'none', 'art', 'bad', 'but', 'amount']"
15/01/2018,424,P424,4,Over really development to top.,"['over', 'really', 'development', 'to', 'top']"
06/05/2018,425,P425,2,Really bag few ball few sell radio.,"['really', 'bag', 'few', 'ball', 'few', 'sell', 'radio']"
13/05/2018,426,P426,2,Certain art consider forward deep indicate.,"['certain', 'art', 'consider', 'forward', 'deep', 'indicate']"
07/08/2018,427,P427,5,Fall call catch community five.,"['fall', 'call', 'catch', 'community', 'five']"
01/04/2018,428,P428,5,Throughout tend relate attention artist.,"['throughout', 'tend', 'relate', 'attention', 'artist']"
17/08/2018,429,P429,3,Each simply or whose arrive result half bed.,"['each', 'simply', 'or', 'whose', 'arrive', 'result', 'half', 'bed']"
17/03/2018,430,P430,5,Almost indicate who walk turn.,"['almost', 'indicate', 'who', 'walk', 'turn']"
29/01/2018,431,P431,2,Guy follow stay imagine white mother.,"['guy', 'follow', 'stay', 'imagine', 'white', 'mother']"
09/02/2018,432,P432,2,Picture positive deal value.,"['picture', 'positive', 'deal', 'value']"
03/05/2018,433,P433,4,Page thing certain sister word us.,"['page', 'thing', 'certain', 'sister', 'word', 'us']"
17/02/2018,434,P434,5,Tv bank firm friend spring perform soldier.,"['tv', 'bank', 'firm', 'friend', 'spring', 'perform', 'soldier']"
15/03/2018,435,P435,2,At safe interesting sense bag at.,"['at', 'safe', 'interesting', 'sense', 'bag', 'at']"
19/08/2018,436,P436,5,Bad yourself go expect nature mention view claim.,"['bad', 'yourself', 'go', 'expect', 'nature', 'mention', 'view', 'claim']"
20/01/2018,437,P437,4,Behavior community doctor as we if.,"['behavior', 'community', 'doctor', 'as', 'we', 'if']"
07/02/2018,438,P438,4,Week everything nothing economic call prevent modern sport.,"['week', 'everything', 'nothing', 'economic', 'call', 'prevent', 'modern', 'sport']"
25/04/2018,439,P439,5,Buy ago easy direction four or skin.,"['buy', 'ago', 'easy', 'direction', 'four', 'or', 'skin']"
08/02/2018,440,P440,1,Hope brother goal whole.,"['hope', 'brother', 'goal', 'whole']"
10/01/2018,441,P441,3,Tend clear so camera must hear writer.,"['tend', 'clear', 'so', 'camera', 'must', 'hear', 'writer']"
19/06/2018,442,P442,3,Ago race direction social.,"['ago', 'race', 'direction', 'social']"
14/06/2018,443,P443,3,Campaign entire skin board meeting.,"['campaign', 'entire', 'skin', 'board', 'meeting']"
02/08/2018,444,P444,5,House several provide present.,"['house', 'several', 'provide', 'present']"
07/01/2018,445,P445,4,Subject piece cold imagine remember program nothing until.,"['subject', 'piece', 'cold', 'imagine', 'remember', 'program', 'nothing', 'until']"
25/05/2018,446,P446,1,Company camera maybe teach trade seem.,"['company', 'camera', 'maybe', 'teach', 'trade', 'seem']"
01/03/2018,447,P447,4,Three standard effort baby past across.,"['three', 'standard', 'effort', 'baby', 'past', 'across']"
05/02/2018,448,P448,5,Low plan friend ok seek impact arm window.,"['low', 'plan', 'friend', 'ok', 'seek', 'impact', 'arm', 'window']"
03/08/2018,449,P449,5,Trade scene home large order particular son.,"['trade', 'scene', 'home', 'large', 'order', 'particular', 'son']"
28/07/2018,450,P450,1,Form mouth act just.,"['form', 'mouth', 'act', 'just']"
02/01/2018,451,P451,4,Story talk reveal radio.,"['story', 'talk', 'reveal', 'radio']"
27/06/2018,452,P452,1,Space easy wait.,"['space', 'easy', 'wait']"
28/04/2018,453,P453,4,Lose sea true throw after camera teacher.,"['lose', 'sea', 'true', 'throw', 'after', 'camera', 'teacher']"
01/06/2018,454,P454,1,Wait section note job apply fall.,"['wait', 'section', 'note', 'job', 'apply', 'fall']"
21/06/2018,455,P455,5,Quickly history prevent effect specific whose eat allow.,"['quickly', 'history', 'prevent', 'effect', 'specific', 'whose', 'eat', 'allow']"
12/06/2018,456,P456,1,Television painting since defense yard fine six second.,"['television', 'painting', 'since', 'defense', 'yard', 'fine', 'six', 'second']"
25/04/2018,457,P457,2,Media amount paper local believe government.,"['media', 'amount', 'paper', 'local', 'believe', 'government']"
18/07/2018,458,P458,5,Hour capital property low.,"['hour', 'capital', 'property', 'low']"
15/06/2018,459,P459,3,Candidate service information traditional lead learn.,"['candidate', 'service', 'information', 'traditional', 'lead', 'learn']"
10/05/2018,460,P460,1,Wife focus play speak none not.,"['wife', 'focus', 'play', 'speak', 'none', 'not']"
10/06/2018,461,P461,5,Commercial old later rule newspaper foot.,"['commercial', 'old', 'later', 'rule', 'newspaper', 'foot']"
14/04/2018,462,P462,4,Goal onto national remember finish.,"['goal', 'onto', 'national', 'remember', 'finish']"
01/01/2018,463,P463,5,Memory individual wide space security edge least.,"['memory', 'individual', 'wide', 'space', 'security', 'edge', 'least']"
01/06/2018,464,P464,5,Drug single alone yet stock.,"['drug', 'single', 'alone', 'yet', 'stock']"
18/03/2018,465,P465,1,Sort kitchen since.,"['sort', 'kitchen', 'since']"
08/01/2018,466,P466,1,Lead reflect want smile last everybody.,"['lead', 'reflect', 'want', 'smile', 'last', 'everybody']"
14/06/2018,467,P467,3,Early head family morning often different.,"['early', 'head', 'family', 'morning', 'often', 'different']"
19/08/2018,468,P468,1,Which project share scene recognize decision and quality.,"['which', 'project', 'share', 'scene', 'recognize', 'decision', 'and', 'quality']"
30/04/2018,469,P469,4,Form local so though think ok culture wear.,"['form', 'local', 'so', 'though', 'think', 'ok', 'culture', 'wear']"
02/03/2018,470,P470,4,Usually fine give garden business food.,"['usually', 'fine', 'give', 'garden', 'business', 'food']"
18/07/2018,471,P471,5,Pattern prepare grow go speak.,"['pattern', 'prepare', 'grow', 'go', 'speak']"
28/07/2018,472,P472,2,Light necessary each any federal level food threat.,"['light', 'necessary', 'each', 'any', 'federal', 'level', 'food', 'threat']"
28/01/2018,473,P473,4,Statement ahead two raise about church.,"['statement', 'ahead', 'two', 'raise', 'about', 'church']"
21/06/2018,474,P474,2,Agree last use look hope baby.,"['agree', 'last', 'use', 'look', 'hope', 'baby']"
30/07/2018,475,P475,5,Customer writer maintain new business camera.,"['customer', 'writer', 'maintain', 'new', 'business', 'camera']"
14/04/2018,476,P476,1,Idea high idea fine.,"['idea', 'high', 'idea', 'fine']"
03/04/2018,477,P477,5,Board quickly which soldier.,"['board', 'quickly', 'which', 'soldier']"
20/07/2018,478,P478,3,Stuff player figure likely lead race morning.,"['stuff', 'player', 'figure', 'likely', 'lead', 'race', 'morning']"
07/01/2018,479,P479,2,Structure pretty church challenge professional test.,"['structure', 'pretty', 'church', 'challenge', 'professional', 'test']"
05/08/2018,480,P480,2,Today leave left good public real.,"['today', 'leave', 'left', 'good', 'public', 'real']"
14/08/2018,481,P481,3,Walk reason west month.,"['walk', 'reason', 'west', 'month']"
31/07/2018,482,P482,1,Nice part else huge project this.,"['nice', 'part', 'else', 'huge', 'project', 'this']"
15/02/2018,483,P483,1,According drug challenge leg difference.,"['according', 'drug', 'challenge', 'leg', 'difference']"
01/05/2018,484,P484,4,Need top high them.,"['need', 'top', 'high', 'them']"
21/08/2018,485,P485,1,Develop letter dog energy thing field Republican thing.,"['develop', 'letter', 'dog', 'energy', 'thing', 'field', 'republican', 'thing']"
22/08/2018,486,P486,2,Organization for try chair religious hotel.,"['organization', 'for', 'try', 'chair', 'religious', 'hotel']"
07/04/2018,487,P487,5,Number best space easy camera.,"['number', 'best', 'space', 'easy', 'camera']"
28/01/2018,488,P488,5,Major artist about unit figure letter.,"['major', 'artist', 'about', 'unit', 'figure', 'letter']"
01/07/2018,489,P489,3,Hit thousand impact require herself adult.,"['hit', 'thousand', 'impact', 'require', 'herself', 'adult']"
03/08/2018,490,P490,3,Drive or business.,"['drive', 'or', 'business']"
06/08/2018,491,P491,3,Throw individual daughter.,"['throw', 'individual', 'daughter']"
08/06/2018,492,P492,3,Candidate sometimes develop happy.,"['candidate', 'sometimes', 'develop', 'happy']"
17/07/2018,493,P493,4,Business wear box network.,"['business', 'wear', 'box', 'network']"
10/07/2018,494,P494,1,Sure physical interview on how.,"['sure', 'physical', 'interview', 'on', 'how']"
18/08/2018,495,P495,2,Add unit thought.,"['add', 'unit', 'thought']"
18/02/2018,496,P496,4,Court look town report mean.,"['court', 'look', 'town', 'report', 'mean']"
05/05/2018,497,P497,3,Would position party story key.,"['would', 'position', 'party', 'story', 'key']"
24/06/2018,498,P498,4,And president sound key in force wish.,"['and', 'president', 'sound', 'key', 'in', 'force', 'wish']"
08/04/2018,499,P499,2,Where form fly.,"['where', 'form', 'fly']"
15/02/2018,500,P500,4,Much power south name.,"['much', 'power', 'south', 'name']"
